,product,topic,review_count,topic_coherence,top_words,best_review,best_review_fit,top_bigrams_pmi,top_bigrams_freq,top_trigrams_pmi,top_trigrams_freq
0,B002IEZJMA,0,0,0.6362148866156143,"['read', 'italy', 'expresso', 'realize', 'car', 'rule', 'agree', 'road', 'starbuck', 'call']",none,,[],[],[],[]
1,B002IEZJMA,1,0,0.601185498026245,"['general', 'mid', 'fructose', 'care', 'generally', 'steep', 'lunch', 'capuccino', 'core', 'literally']",none,,[],[],[],[]
2,B002IEZJMA,2,1,0.5914207373723672,"['GOODREVIEW', 'fan', 'convenient', 'BADREVIEW', 'purchase', 'go', 'size', 'aftertaste', 'huge', 'canned']","i am not a huge fan of canned coffee drinks, but i am always looking for easy coffee. this drink tasted just okay. it had a weird aftertaste that i cannot quite describe. the size of the can is adequate. i definitely will not be purchasing this again in the future. if you like convenient, ok tasting coffee to go, this is it.",0.9663434624671936,"['i am', 'i not', 'is .']",['is .'],[],[]
3,B002IEZJMA,3,417,0.5683742835945017,"['GOODREVIEW', 'BADREVIEW', 'VGOODREVIEW', 'would', 'flavor', 'strong', 'good', 'espresso', 'try', 'illy']","illy coffee is not new to me. i have been buying their . i will admit i bought it more than a few years ago. after awhile my taste changed and i liked drinks with more of a cream flavor to them.  illy makes a lot of great drinks. i buy them when i run out to the drugstore as a pick me up or a treat for myself. they are pricey but they do give you a quick jolt of the caffeine for pick up. i have not tried the caffe' can locally. i made sure it was very chilled in my fridge and like all my other cold coffee drinks, drank it with a straw. i had a hard time getting this down. it was my first drink of the day and being a caffeine junkie, thought it would be easier to swallow, it was not. understand it is an espresso drink that has no cream to it so it is very bold tasting, almost bitter to me. i tried to suck it down and had to take small sips it was so strong. i did finish it though.  i cannot say i would buy this again since it is not to my liking. i now like my cold coffee drinks to have a cream added to them or a flavor. this drink is very bold and strong. if you are not familiar with how strong it is, you might not even be able to keep it down.  size wise i compare it to starbucks double shots drinks but without the cream. i drink a ton of starbucks cold coffee beverages since they carry them in bulk where i live. however, it might compare size wise but again, no cream. illy also only has 50 calories if calories are a factor for you. i like to drink cold coffee with lower calories in case i drink two a day but cannot say this is one i would factor in because of the low calories.  glad i tried it but cannot say i would buy it again. if i were on a road trip and this was the only coffee sold at a gas station i might buy it as a pick me up. a regular drink, not for me, illy has much better drinks out there in my opinion.",0.9943150281906128,"['gas station', 'nowhere near', 'final verdict', 'take-along booster', 'dunkin donuts', '355 ml', 'brushed teeth', 'cuppa joe', 'fructose corn', 'coca cola']","[', i', '. it', ', but', 'i not', 'coffee .', '. the', '. is', 'coffee ,']","['fructose corn syrup', ': 1:50 mins', 'length : 1:50', 'high fructose corn', 'amazon vine program', '2 1/2 tsp', '30min late !', 'high fructose syrup', '100 % arabica', 'carbs 10 grams']","['. i not', '. if you', 'i do not', '. this is', 'coffee . i', ', it is', ', but i', 'it is a']"
4,B002IEZJMA,4,0,0.5380945058167377,"['fat', 'stay', 'accord', 'protein', 'eat', 'carbohydrate', 'number', 'cause', 'currently', 'satisfying']",none,,[],[],[],[]
5,B002IEZJMA,5,0,0.3994967289922731,"['terrible', 'horrible', 'watery', 'else', 'care', 'sound', 'chemical', 'obviously', 'convenience', 'carbonate']",none,,[],[],[],[]
6,B002IEZJMA,6,69,0.34921279917449727,"['GOODREVIEW', 'BADREVIEW', 'VGOODREVIEW', 'sugar', 'illy', 'espresso', 'caffeine', 'calorie', 'issimo', 'ounce']","as you can tell from my user name, i am a bit of a coffee lover and have been for years however, i despise crummy coffee, instant coffee, coffee fillers, artifical flavorings etc...i like rich, dark arabica coffee served strong and black.  typically i grind my own (organic) beans using a vintage mill and french press but there are times when it is not possible to make a decent cup of coffee. this fits the bill perfectly. a nice balance, not weak but not overpowering, solid arabic rather than the inferior robusta and all the convenience. kosher (important) and relatively free from preservatives etc... i wish there was an organic option but aside from that, i was very impressed by the flavor.",0.9886314868927002,"['turkey gravy', '200 ml', 'husband loves', 'tea ketchup', 'atlanta ga.', 'atlanta georgia', 'corn syrup', 'diet controlled', 'fit bill', 'fits bill']","['. the', ', i', 'coffee ,', '. it', '. is', 'is a', ', and', ', but']","['want diet controlled', 'high fructose corn', 'ingredient list short', '/ 9.2857 =', '/ 78 =', 'or turkey gravy', 'diet controlled by', 'my husband loves', '3.5 saturated )', 'tea or ketchup']","['caff & ;', 'caff & egrave', 'caff egrave ;', ', it is', '. if you', 'the illy issimo', '. is a', 'i do not']"
7,B002IEZJMA,7,0,0.14870864305514445,"['first', 'cent', 'nasty', 'second', 'million', 'hop', 'concoction', 'manufacturer', 'disclaimer', 'skip']",none,,[],[],[],[]
0,B006MONQMC,0,1,0.7016772460584867,"['b', 'taurine', 'c', 'vitamin', 'glass', 'daily', 'natural', 'accord', 'fruit', 'red']","or so the bottle wrapping claims and there is more: vitamins c, b3, b5, b6, b12 plus 'natural' caffeine and... taurine. i did not know what 'taurine' was so i looked it up. well, whatever it is, according to wikipedia, ""a review published in 2008 found no documented reports of negative or positive health effects associated with the amount of taurine used in energy drinks"" so it probably does not hurt to have some.  the end product, after squeezing the concentrate into a glass of water is that the water color changes to orangy-red and it acquires a vaguely fruity synthetic smell and flavor and, according to the wrapping, it gets 120% of your daily vitamin c needs.  to answer the question: 'after my first glass, would i have another one?' i must admit that i was not able to actually finish my first glass. i would not call it 'bad tasting' but i would rather have my drinking water clean and maybe some fruit on the side or some mostly natural fruit juice to fulfill may daily requirements of taurine, vitamin c, sodium benzoate and the ever-essential electrolytes.",0.47225692868232727,"['first glass', 'my first', 'my glass', 'would have', 'according to', 'of taurine', 'the wrapping', 'i not', 'i would', ', according']","[""' i"", ', according', ', it', ', to', '. i', 'according to', 'first glass', 'i would']","['my first glass', '. i not', ', according to']",['my first glass']
1,B006MONQMC,1,0,0.6217836324452304,"['morning', 'sport', 'set', 'load', 'person', 'coffee', 'subtle', 'force', 'truly', 'ol']",none,,[],[],[],[]
